- Santacara,"42.379924497064,-1.54398176946"
- SarriesoSartze,"42.8457826189985,-1.0898670316"
- Sartaguda,"42.3826631246633,-2.0426007109"
- Sesma,"42.4798902247838,-2.0943004164"
- Sorlada,"42.6124867801861,-2.2182585465"
- Sunbilla,"43.1812571059365,-1.6552738611"
- Tafalla,"42.5247548091673,-1.7055794824"
- Tiebas-Muruarte-de-Reta,"42.6856277629792,-1.6489394876"
- Tirapu,"42.6472681375621,-1.6925220713"
- Torralba-del-Rio,"42.623049727807,-2.31606487312"
- Torres-del-Rio,"42.5285078743278,-2.2668232406"
- Tudela,"42.0744029085014,-1.6372817851"
- Tulebras,"41.9850928773319,-1.6832519553"
- Ucar,"42.6913800240842,-1.7041846424"
- Uharte-Arakil,"42.9294584542027,-1.9567029912"
- Ujue,"42.4800450053755,-1.4899549606"
- Ultzama,"43.0069397467496,-1.6751373435"
- Unciti,"42.7355439258175,-1.4909858934"
- Unzue,"42.6651432469673,-1.6199779644"
- UrdazubioUrdax,"43.2769356604141,-1.5055242230"
- Urdiain,"42.888039560563,-2.13735580444"
- Urraul-Alto,"42.7821191186453,-1.2281452302"
- Urraul-Bajo,"42.6883656913922,-1.3298743073"
- Urrotz,"43.0850494485517,-1.7072376044"
- Urroz,"42.817991,-1.644215"
- Urzainqui,"42.8340441306529,-0.9154295396"
- Uterga,"42.7157100676288,-1.7501747244"
- UztarrozoUztarroze,"42.9193576753104,-0.9566955769"
- Valtierra,"42.2087106734368,-1.6162527253"
- Viana,"42.4943950901286,-2.3494958388"
- VidangozoBidankoze,"42.8191153014244,-1.0052501238"
- Villafranca,"42.2779889430464,-1.7312713745"
- Villamayor-de-Monjardin,"42.612952077341,-2.12597406935"
- Villatuerta,"42.6373122067918,-1.9566981088"
- VillavaoAtarrabia,"42.817991,-1.644215"
- Yerri,"42.727183918515,-1.98989455819"
- Yesa,"42.6258572073353,-1.1859542947"
- Zabalza,"42.772700969445,-1.79711161329"
- Ziordia,"42.8703029177776,-2.2283363342"
- Zizur-MayoroZizur-Nagusia,"42.7924990753233,-1.6923042873"
- Zubieta,"43.127585681605,-1.76108622354"
- Zugarramurdi,"43.275602053743,-1.54322405467"
- Zuniga,"42.6926910658486,-2.2919781830"
